PROGRAM_ID,CATEGORY_ID,KIND_ID,PRODUCTION_COUNTRY,PRODUCTION_YEAR
248,1,30,Grande-Bretagne,1942
308,9,6,,
338,1,141,Grande-Bretagne,1974
659,2,110,Etats-Unis,
719,5,153,France,
775,5,65,Grande-Bretagne,0
821,2,110,Etats-Unis,1994
1094,2,16,Etats-Unis,
1318,4,36,France,
1590,6,172,France,2014
1681,3,38,Grande-Bretagne,
2235,3,38,Grande-Bretagne,
2347,1,131,France,2004
2475,1,30,France - Italie - Tunisie,1973
2492,1,1,Italie,1958
2576,1,63,Etats-Unis - Allemagne,2009
2725,1,30,Etats-Unis - Grande-Bretagne,1987
3948,1,138,France,
3965,1,27,Etats-Unis,1988
4004,1,146,Etats-Unis,2011
4050,1,27,Etats-Unis,1990
4172,1,63,Suède,2010
4319,1,63,Etats-Unis,1962
4358,8,49,Grande-Bretagne,0
4366,1,148,Italie - France,1962
4429,1,14,France,2013
5036,1,116,France,2010
5439,1,116,Etats-Unis,1999
6820,1,5,Grande-Bretagne - Allemagne,2010
6928,2,16,Grande-Bretagne - Etats-Unis,0
7297,6,180,Etats-Unis,2007
7602,1,146,Etats-Unis - Grande-Bretagne,2010
7760,5,13,France,
7841,2,28,Japon,0
8018,3,3,,
8019,3,36,,
8020,3,36,,
8049,4,19,France,
8183,8,94,,
8359,1,16,Etats-Unis,1992
8388,1,31,Etats-Unis,1999
8508,9,101,,
8556,1,14,Etats-Unis,1991
8946,1,16,Etats-Unis,1998
9258,5,9,,
10457,6,174,Russie,
10554,1,131,France,1976
10873,1,131,France,1998
11178,1,16,France,1983
11231,1,5,Etats-Unis - France,1995
11233,1,131,France,2006
11467,1,1,Etats-Unis,2006
11507,1,131,France - Belgique,2010
11543,1,14,France,2004
11562,1,116,Grande-Bretagne,1993
12081,1,68,Etats-Unis,1960
12298,1,148,France,1937
12620,1,131,France,1979
12705,3,38,Etats-Unis,
13020,1,63,Etats-Unis,2013
13414,3,38,Etats-Unis,
14492,5,13,,
14537,1,148,Belgique,2012
14805,1,23,France,1935
15115,3,36,,
15198,1,150,Canada,2014
15866,1,141,France - Belgique - Italie,1993
16498,1,27,Etats-Unis - Allemagne,2008
16565,1,30,Etats-Unis,2014
17382,1,23,France - Italie - Espagne,1975
17828,1,131,France,1981
18044,1,14,Italie - France - Allemagne,1986
18643,1,148,Etats-Unis,1992
18680,3,36,,
18930,4,48,France,
19630,3,38,,
20027,1,148,France - Grande-Bretagne,1979
20173,9,12,,2012
20396,1,1,Canada - Etats-Unis - Allemagne,2000
20710,6,176,Etats-Unis,2008
21022,1,96,Grande-Bretagne - France,2014
21548,9,36,France,2015
21946,1,31,Etats-Unis,1982
22169,3,77,Allemagne,0
22299,6,28,France - Etats-Unis,1990
23206,1,68,Etats-Unis,1973
23233,1,33,Etats-Unis,2007
24148,1,83,Japon,1984
24316,1,30,Etats-Unis,1979
25723,1,5,Etats-Unis,1977
25986,3,38,Etats-Unis,
26153,1,131,France,2011
26521,1,146,France - Canada,1999
26695,1,14,Italie,1985
27803,1,30,Etats-Unis,1949
28034,9,101,France,
28275,1,138,France - Italie,1961
28463,9,101,France,
28470,8,4,France,
28484,1,30,Grande-Bretagne,1977
29138,1,141,Etats-Unis,1991
29227,1,5,Chine - HongKong,2008
29261,3,38,Etats-Unis,
29588,9,101,France,0
30226,1,15,Etats-Unis,2006
